Scrip Name,ISIN No,ISIN Reinvestment,Instrument Type
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,INF789FC1HE1,INF789FC1HF8,Mutual Fund
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,INF789F016Z4,INF789F017Z2,Mutual Fund
UTI Banking & PSU Fund - Regular Plan - Annual IDCW,INF789FA1U46,INF789FA1U53,Mutual Fund
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,INF789FA1U61,INF789FA1U79,Mutual Fund
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,INF789FA1U20,INF789FA1U38,Mutual Fund
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,INF789FC1HC5,INF789FC1HD3,Mutual Fund
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,INF789F012Z3,INF789F013Z1,Mutual Fund
UTI Banking & PSU Fund- Regular Plan - Growth Option,INF789F014Z9,,Mutual Fund
Open Ended Schemes (Debt Scheme - Corporate Bond Fund),,,Mutual Fund
Aditya Birla Sun Life Mutual Fund,,,Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,INF209K01S38,,Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,INF209K01785,,Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,INF209KA1KT0,,Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,INF209K01N90,INF209KA1KU8,Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,INF209KA1KS2,,Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,INF209K01983,INF209K01DL8,Mutual Fund
Aditya Birla Sun Life Income Fund-Plan A(Dividend),,,Mutual Fund
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend),,INF209K01DI4,Mutual Fund
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth),,,Mutual Fund
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend),,,Mutual Fund
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth),,,Mutual Fund
Axis Mutual Fund,,,Mutual Fund
Axis Corporate Debt Fund - Direct Plan - Daily IDCW,INF846K01ZN6,,Mutual Fund
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW,INF846K01ZQ9,INF846K01ZR7,Mutual Fund
Axis Corporate Debt Fund - Direct Plan - Regular IDCW,INF846K01ZS5,INF846K01ZT3,Mutual Fund
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW,INF846K01ZO4,INF846K01ZP1,Mutual Fund
Axis Corporate Debt Fund - Direct Plan Growth,INF846K01ZM8,,Mutual Fund
Axis Corporate Debt Fund - Regular Plan - Daily IDCW,INF846K01ZV9,,Mutual Fund
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW,INF846K01ZY3,INF846K01ZZ0,Mutual Fund
Axis Corporate Debt Fund - Regular Plan - Regular IDCW,INF846K01A03,INF846K01A11,Mutual Fund
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW,INF846K01ZW7,INF846K01ZX5,Mutual Fund
Axis Corporate Debt Fund - Regular Plan Growth,INF846K01ZU1,,Mutual Fund
Bandhan Mutual Fund,,,Mutual Fund
BANDHAN Corporate Bond Fund - Direct Annual IDCW,INF194KA1T34,INF194KA1T42,Mutual Fund
BANDHAN Corporate Bond Fund - Direct Growth,INF194KA1M23,,Mutual Fund
