date,holding_amount,open_amount,high_amount,low_amount,close_amount
2022-10-26,48224.4,72597.0,73771.5,72268.5,72846.5
2022-10-27,48224.4,73414.0,74481.5,72858.5,73927.5
2022-10-28,48224.4,74128.5,74550.0,73281.0,74029.5
2022-10-29,48224.4,74128.5,74550.0,73281.0,74029.5
2022-10-30,48224.4,74128.5,74550.0,73281.0,74029.5
2022-10-31,48224.4,74921.5,75249.0,74072.5,74452.0
2022-11-01,48224.4,74741.0,76203.0,74532.0,75988.0
2022-11-02,48224.4,76068.5,76538.0,75455.0,75837.5
2022-11-03,48224.4,75438.5,76018.5,74590.0,75007.0
2022-11-04,48224.4,75246.0,76273.0,74976.0,76044.5
2022-11-05,48224.4,75246.0,76273.0,74976.0,76044.5
2022-11-06,48224.4,75246.0,76273.0,74976.0,76044.5
2022-11-07,48224.4,76341.0,77563.0,76126.5,77129.5
2022-11-08,48224.4,76341.0,77563.0,76126.5,77129.5
2022-11-09,48224.4,77688.5,78538.5,76786.5,77272.0
2022-11-10,48224.4,75991.5,76322.0,74469.5,74872.0
2022-11-11,48224.4,76061.0,76607.0,75120.0,76076.0
2022-11-12,48224.4,76061.0,76607.0,75120.0,76076.0
2022-11-13,48224.4,76061.0,76607.0,75120.0,76076.0
2022-11-14,48224.4,76170.0,77583.0,75639.5,76786.0
2022-11-15,48224.4,77016.0,77639.5,76869.5,77394.5
2022-11-16,48224.4,77374.5,77573.5,75572.0,76114.0
2022-11-17,48224.4,75179.0,75761.0,74393.5,74806.5
2022-11-18,48224.4,75030.0,75349.0,74207.0,74729.5
2022-11-19,48224.4,75030.0,75349.0,74207.0,74729.5
2022-11-20,48224.4,75030.0,75349.0,74207.0,74729.5
2022-11-21,48224.4,74908.5,75395.5,74049.5,74602.5
2022-11-22,48224.4,74540.0,75218.0,74194.5,74827.0
2022-11-23,48224.4,75187.0,75542.0,74643.0,74805.5
2022-11-24,48224.4,74880.5,75058.0,74295.5,74734.0
2022-11-25,48224.4,74960.5,76508.5,74734.5,76204.5
2022-11-26,48224.4,74960.5,76508.5,74734.5,76204.5
2022-11-27,48224.4,74960.5,76508.5,74734.5,76204.5
2022-11-28,48224.4,76382.5,77262.5,76006.0,76283.0
2022-11-29,48224.4,76268.0,76871.0,75664.5,76103.5
